201511,01,01,23,null,Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html),
201511,01,08,25,null,PEAR HTTP_Request class ( http://pear.php.net/ ),
201511,01,08,25,null,Mozilla/5.0 (Windows; U; Windows NT 6.0; ja; rv:1.9.1.1) Gecko/20090715 Firefox/3.5.1 (.NET CLR 3.5.30729),
201511,01,08,35,http://katsumi.exe.nu/,Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30,
201511,01,08,35,null,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),
201511,01,14,39,null,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17,
201511,01,14,39,null,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17,
201511,01,14,40,null,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17,
201511,01,14,40,null,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17,
201511,01,21,32,null,nutch-1.4/Nutch-1.4,
201511,02,08,19,null,PEAR HTTP_Request class ( http://pear.php.net/ ),
201511,02,08,19,null,Mozilla/5.0 (Windows; U; Windows NT 6.0; ja; rv:1.9.1.1) Gecko/20090715 Firefox/3.5.1 (.NET CLR 3.5.30729),
201511,02,12,11,null,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),
201511,02,14,44,null,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),
